From: reid@decwrl.DEC.COM (Brian Reid)
Subject: USENET Readership report for Mar 95
Date: 1 Apr 1995 07:52:15 -0800
Organization: DEC Network Systems Laboratory
Message-ID: <LOC.3ljsrf$aeb@usenet.pa.dec.com>

This is the full set of data from the USENET readership report for Mar 95.
Explanations of the figures are in a companion posting.

        +-- Estimated total number of people who read the group, worldwide.
        |     +-- Actual number of readers in sampled population
        |     |     +-- Propagation: how many sites receive this group at all
        |     |     |      +-- Recent traffic (messages per month)
  36 180000   839   80%  2184     3.8    13%  0.02   1.3%  comp.graphics 
  37 170000  1139   56% 12273    14.1    10%  0.05   1.8%  alt.music.alternative 
  38 170000  1113   58%  5278     7.1    10%  0.03   1.8%  alt.personals 
  39 170000   914   71%  2040     3.5    15%  0.02   1.5%  rec.arts.startrek.tech 
  40 170000   859   77%   385     0.7     5%  0.00   1.4%  comp.bbs.waffle 
  41 170000   853   75%    42     0.2     0%  0.00   1.4%  comp.sys.amiga.announce 
  42 170000   759   85%  5201     7.7     6%  0.04   1.2%  comp.dcom.modems 
  43 160000  1151   54%  4791   162.3     8%  0.60   1.8%  alt.binaries.pictures.misc 
  44 160000  1017   60%   703     1.3    21%  0.01   1.6%  alt.bbs.lists 
  45 160000   883   69%  1188     2.3    29%  0.01   1.4%  rec.arts.startrek.fandom 
  46 160000   856   73%  1206     1.9    19%  0.01   1.4%  misc.education 
  47 160000   793   75%   169     0.6     5%  0.00   1.3%  comp.os.linux.announce 
  48 150000   934   60%  1380     1.4    38%  0.01   1.5%  alt.dcom.telecom 
  49 150000   922   60%  2630     3.7    27%  0.02   1.5%  alt.internet.services 
  50 150000   921   61%  4542     5.1    77%  0.02   1.5%  alt.activism 
  51 150000   809   69%  4395     5.2    32%  0.03   1.3%  alt.config 
  52 150000   804   71%  6887    11.0     9%  0.06   1.3%  soc.singles 
  53 150000   796   74%   405     1.2     1%  0.01   1.3%  rec.food.recipes 
  54 150000   718   80%  4758     7.0    13%  0.04   1.1%  sci.electronics 
  55 150000   711   82%  2968     2.0    71%  0.01   1.1%  news.admin.policy 
  56 140000  1274   43%  8709   253.4    36%  0.85   2.0%  alt.binaries.pictures.erotica.female 
  57 140000  1144   48%   850     1.3    31%  0.00   1.8%  alt.sex.stories.d 
  58 140000  1079   49%  9350    20.6    15%  0.08   1.7%  alt.2600 
  59 140000  1078   50%  5028     7.5    15%  0.03   1.7%  alt.sex.movies 
  60 140000   984   56% 16106    16.9    64%  0.07   1.6%  alt.fan.rush-limbaugh 
  61 140000   983   56%  2396     3.7    22%  0.02   1.6%  alt.irc 
  62 140000   980   52%  2498    51.8     5%  0.21   1.6%  alt.binaries.pictures.utilities 
  63 140000   756   71%   610     0.3    99%  0.00   1.2%  comp.answers 
  64 140000   713   77%  2927     6.6    20%  0.04   1.1%  misc.invest 
  65 140000   711   74%  4726     5.6    23%  0.03   1.1%  rec.arts.tv 
  66 140000   700   76%  7391    10.3     2%  0.06   1.1%  rec.food.cooking 
  67 140000   684   80%  2662    10.3     5%  0.06   1.1%  misc.jobs.resumes 
  68 140000   654   81%  7369     9.4    14%  0.06   1.0%  comp.sys.mac.hardware 
  69 140000   649   83%  1287     1.6    23%  0.01   1.0%  comp.unix.admin 
  70 140000   648   83%  1200     2.1    13%  0.01   1.0%  comp.windows.x 
  71 140000   643   84%     3     0.0    33%  0.00   1.0%  news.announce.conferences 
  72 130000   817   60%   691     2.5     7%  0.01   1.3%  alt.binaries.pictures.d 
  73 130000   669   77%  3363     3.3    62%  0.02   1.1%  misc.legal 
  74 130000   666   75%     2     0.0     0%  0.00   1.1%  rec.arts.booksalt.binaries.pictures.erotica.male 
  75 130000   647   79%   934     2.3    41%  0.02   1.0%  comp.ai 
  76 130000   642   77%  1166     1.1    28%  0.01   1.0%  misc.wanted 
  77 130000   636   78%  2911     4.1    17%  0.03   1.0%  misc.consumers 
  78 130000   634   79%  5331     5.9    30%  0.04   1.0%  comp.os.ms-windows.misc 
  79 130000   633   78%  4286     8.2    25%  0.05   1.0%  sci.physics 
  80 130000   602   80%  2538     4.2    10%  0.03   1.0%  comp.sys.intel 
  81 130000   598   85%  3753     4.3    62%  0.03   1.0%  news.admin.misc 
  82 130000   594   81%  1177     1.9    14%  0.01   1.0%  comp.databases 
  83 130000   594   80%     -       -      -     -   1.0%  news.lists.ps-maps 
  84 120000  1176   39%  2643    62.8    26%  0.23   1.9%  alt.binaries.pictures.erotica.blondes 
  85 120000  1011   45%  2082    64.2     9%  0.26   1.6%  alt.binaries.pictures.tasteless 
  86 120000   994   45%     -       -      -     -   1.6%  alt.homosexuality 
  87 120000   927   48%   600    15.8     5%  0.07   1.5%  alt.binaries.pictures 
  88 120000   696   64%  7288    10.0    20%  0.06   1.1%  alt.folklore.urban 
  89 120000   683   69%    21     0.0    25%  0.00   1.1%  soc.politics 
  90 120000   670   67%    87     4.7     0%  0.03   1.1%  comp.binaries.ms-windows 
  91 120000   659   72%   126     1.4    11%  0.01   1.1%  alt.sources 
  92 120000   647   72%  3365     3.7    31%  0.02   1.0%  comp.os.linux.misc 
  93 120000   638   72%  5187     1.9    83%  0.01   1.0%  soc.women 
  94 120000   634   70%  7204    11.2     7%  0.07   1.0%  comp.sys.ibm.pc.games.action 
  95 120000   609   78%  4347     6.3    25%  0.04   1.0%  sci.med 
  96 120000   607   77%  2030     2.7    11%  0.02   1.0%  comp.multimedia 
  97 120000   596   79%  3234     5.6     8%  0.04   1.0%  sci.math 
  98 120000   587   80%  1448     1.5    33%  0.01   0.9%  comp.sys.ibm.pc.misc 
  99 120000   579   81%   456     0.7     9%  0.00   0.9%  comp.misc 
 100 120000   576   82%    38     1.6     3%  0.01   0.9%  comp.sources.misc 
 101 120000   575   81%  5381     7.0    12%  0.05   0.9%  comp.sys.mac.apps 
 102 120000   575   78%  2696     4.9    18%  0.03   0.9%  sci.astro 
 103 120000   574   79%  3400     3.3    30%  0.02   0.9%  comp.sys.mac.misc 
 104 120000   555   80%   204     0.8     1%  0.01   0.9%  comp.archives 
 105 120000   541   86%   450     0.3    64%  0.00   0.9%  news.misc 
 106 120000   530   83%  1254     1.4    23%  0.01   0.8%  comp.unix.programmer 
 107 110000  1179   35%  1258     5.6    26%  0.02   1.9%  alt.sex.voyeurism 
 108 110000  1092   37%  1369     6.7    28%  0.02   1.7%  alt.sex.exhibitionism 
 109 110000  1012   41%  4732    83.5    50%  0.35   1.6%  alt.sex.pictures 
 110 110000   897   46%  3781     3.8    16%  0.02   1.4%  alt.sex.wanted 
 111 110000   855   51%  2088     2.7    35%  0.01   1.4%  alt.rush-limbaugh 
 112 110000   849   47%  1129    11.2    27%  0.05   1.4%  alt.binaries.pictures.erotica.d 
 113 110000   838   48%  1917     3.0    13%  0.01   1.3%  alt.sex.wizards 
 114 110000   811   54%  9354     5.4    85%  0.03   1.3%  alt.politics.clinton 
 115 110000   808   49%   787     0.8    15%  0.00   1.3%  alt.radio.scanner 
 116 110000   759   53%  3776     4.6    21%  0.02   1.2%  alt.personals.ads 
 117 110000   717   60%  5450     8.2    17%  0.05   1.1%  alt.drugs 
 118 110000   674   64%   698     1.0     1%  0.01   1.1%  rec.sport.baseball.fantasy 
 119 110000   673   63%   911     1.3    10%  0.01   1.1%  rec.sport.baseball.college 
 120 110000   658   62%  1572     2.0    23%  0.01   1.1%  alt.bbs.internet 
 121 110000   653   62%  2008     2.9     8%  0.02   1.0%  alt.cd-rom 
 122 110000   619   70%  7038    10.7    11%  0.07   1.0%  soc.motss 
 123 110000   619   66%  4870     5.5    37%  0.04   1.0%  alt.folklore.computers 
 124 110000   592   68%  1129     1.1    48%  0.01   0.9%  alt.security 
 125 110000   581   69% 12011    14.7    63%  0.10   0.9%  talk.politics.misc 
 126 110000   571   74%  2881     3.8    24%  0.03   0.9%  rec.music.misc 
 127 110000   556   77%    55     0.2     6%  0.00   0.9%  comp.os.ms-windows.announce 
 128 110000   547   79%  5957     8.4     4%  0.07   0.9%  comp.sys.mac.games 
 129 110000   546   80%  7360    10.1    21%  0.08   0.9%  comp.os.os2.misc 
 130 110000   542   78%  3006     5.0     5%  0.04   0.9%  misc.consumers.house 
 131 110000   539   76%   591     1.5     0%  0.01   0.9%  comp.archives.msdos.announce 
 132 110000   536   80%  1224     1.3    40%  0.01   0.9%  comp.security.misc 
 133 110000   531   80%  5295     6.9    13%  0.05   0.8%  comp.sys.mac.system 
 134 110000   528   80%   947     1.8    17%  0.01   0.8%  comp.software-eng 
 135 110000   517   80%   706     1.4     8%  0.01   0.8%  comp.arch 
 136 110000   512   79%  2908     2.7    16%  0.02   0.8%  comp.sys.mac.wanted 
 137 110000   512   79%   849     2.0    11%  0.02   0.8%  comp.ai.neural-nets 
 138 110000   507   80%    10     0.0    20%  0.00   0.8%  comp.sys.mac.announce 
 139 110000   506   80%  5482     8.0    10%  0.06   0.8%  comp.sys.mac.comm 
 140 110000   501   83%   411     0.5    18%  0.00   0.8%  comp.sources.wanted 
 141 110000   495   82%   992     1.3    18%  0.01   0.8%  comp.unix.shell 
 142 110000   495   82%   603     0.6    34%  0.01   0.8%  comp.unix.misc 
 143 110000   477   85%   660     0.9    21%  0.01   0.8%  comp.mail.misc 
 144 100000   674   58%   126     0.3     6%  0.00   1.1%  alt.hackers 
 145 100000   673   57%  4164     9.2    14%  0.06   1.1%  alt.alien.visitors 
 146 100000   663   60%  7087    11.3    34%  0.07   1.1%  alt.atheism 
 147 100000   639   60%  4022     7.1    11%  0.05   1.0%  alt.romance 
 148 100000   584   66%  4003     4.5    24%  0.03   0.9%  comp.infosystems.www.misc 
 149 100000   574   69%  3481     4.2    28%  0.03   0.9%  talk.bizarre 
 150 100000   561   71%  6925    13.8    25%  0.11   0.9%  soc.culture.indian 
 151 100000   559   70%  2077     2.2    28%  0.02   0.9%  comp.sys.ibm.pc.games.misc 
 152 100000   552   72%  1547     2.4    26%  0.02   0.9%  comp.security.unix 
 153 100000   544   70%  6390    12.4     3%  0.10   0.9%  comp.sys.ibm.pc.games.strategic 
 154 100000   533   73%  7039    12.2     5%  0.10   0.9%  rec.arts.anime 
 155 100000   519   77%  6414    11.6     8%  0.10   0.8%  misc.kids 
 156 100000   518   76%  1188     1.1    47%  0.01   0.8%  misc.misc 
 157 100000   495   79%   187     1.7    27%  0.01   0.8%  comp.binaries.ibm.pc.d 
 158 100000   490   82%  2438     4.4     6%  0.04   0.8%  comp.lang.perl 
 159 100000   461   84%   847     0.9    24%  0.01   0.7%  comp.protocols.tcp-ip 
 160 100000   457   84%     -       -      -     -   0.7%  comp.sources.unix 
 161  99000   827   45%  3322     4.1    27%  0.02   1.3%  alt.sex.masturbation 
 162  99000   772   49%  4638     5.9    10%  0.03   1.2%  alt.tasteless.jokes 
 163  99000   604   62%  1742     1.9    46%  0.01   1.0%  alt.cyberpunk 
 164  99000   546   69%    65     0.7    15%  0.01   0.9%  comp.sys.ibm.pc.games.announce 
 165  99000   525   72%  6237    11.3    14%  0.09   0.8%  soc.culture.jewish 
 166  99000   515   73%   828     1.0    26%  0.01   0.8%  misc.jobs.offered.entry 
 167  98000   526   71%  3957     7.0    14%  0.06   0.8%  soc.culture.japan 
 168  98000   471   79%  1546     2.1    14%  0.02   0.8%  comp.os.msdos.misc 
 169  98000   469   80%  2214     2.3    39%  0.02   0.8%  comp.os.msdos.programmer 
 170  98000   468   80%  2242     2.9    19%  0.03   0.7%  comp.sys.sun.admin 
 171  97000   603   61%  5280     8.0    11%  0.06   1.0%  alt.cult-movies 
 172  96000   585   63%     -       -      -     -   0.9%  alt.conspiracyalt 
 173  96000   523   70%  4449     6.6     5%  0.05   0.8%  comp.sys.ibm.pc.games.adventure 
 174  95000   618   59%  1376     1.5    53%  0.01   1.0%  misc.forsale 
 175  95000   456   79%  5970     7.6    14%  0.07   0.7%  comp.os.os2.apps 
 176  94000   667   54%  4770   292.6     1%  1.80   1.1%  alt.binaries.multimedia 
 177  94000   494   72%  4440     6.3    21%  0.05   0.8%  misc.entrepreneurs 
 178  94000   453   79%   146     0.4     2%  0.00   0.7%  comp.compilers 
 179  94000   431   83%    49     0.1    24%  0.00   0.7%  comp.unix.wizards 
 180  92000   534   66%  4673     5.3    19%  0.04   0.9%  comp.os.linux.help 
 181  92000   465   75%   127     6.6     0%  0.06   0.7%  comp.binaries.mac 
 182  91000   667   52%  1387    58.1    12%  0.36   1.1%  alt.binaries.sounds.misc 
 183  91000   467   74%  4823     7.3    10%  0.06   0.7%  rec.autos.tech 
 184  91000   442   78%  3230     4.1    15%  0.04   0.7%  comp.os.ms-windows.programmer.misc 
 185  91000   439   79%  1667     3.9    16%  0.04   0.7%  comp.object 
 186  91000   405   85%   285     0.4    22%  0.00   0.6%  news.software.b 
 187  90000  1067   32%  4362   133.3     7%  0.52   1.7%  alt.binaries.pictures.celebrities 
 188  90000   631   54%  3746     4.2    43%  0.03   1.0%  alt.tasteless 
 189  90000   515   66%  3985     7.7    17%  0.06   0.8%  comp.infosystems.www.users 
 190  90000   479   71%  6861    13.7     3%  0.12   0.8%  rec.sport.soccer 
 191  90000   462   74%  3758     5.9     5%  0.05   0.7%  misc.fitness 
 192  90000   442   77%  7231     6.5    60%  0.06   0.7%  comp.os.ms-windows.advocacy 
 193  90000   437   79%  1337     3.3    10%  0.03   0.7%  comp.windows.x.motif 
 194  90000   430   80%  4990     6.6     6%  0.06   0.7%  comp.sys.novell 
 195  89000   723   47%  1598     1.7    36%  0.01   1.2%  alt.sex.motss 
 196  89000   448   76%  1596     1.5    33%  0.01   0.7%  comp.music 
 197  89000   441   77%   192     0.3    18%  0.00   0.7%  rec.humor.d 
 198  89000   410   83%   443     0.7     4%  0.01   0.7%  comp.mail.elm 
 199  89000   407   84%  1830     2.0    13%  0.02   0.7%  news.software.readers 
 200  88000   512   65%  4907     6.4    18%  0.05   0.8%  comp.infosystems.www.providers 
 201  88000   452   74%  3849     5.9     5%  0.05   0.7%  rec.backcountry 
 202  88000   445   75%     4     0.0     0%  0.00   0.7%  gnu.announce 
 203  88000   405   83%   628     0.8     9%  0.01   0.6%  comp.protocols.tcp-ip.ibmpc 
 204  87000   885   37%  4159   185.6    22%  0.87   1.4%  alt.binaries.pictures.erotica.orientals 
 205  87000   444   75%  5502     8.2     3%  0.08   0.7%  rec.gardens 
 206  87000   434   77%  1920     2.1    51%  0.02   0.7%  sci.psychology 
 207  87000   434   76%  2516     3.3    11%  0.03   0.7%  sci.chem 
 208  87000   422   79%  1142     2.0    27%  0.02   0.7%  sci.crypt 
 209  87000   420   79%    23     1.3     9%  0.01   0.7%  comp.sys.mac.digest 
 210  87000   418   80%  5912     8.7     4%  0.09   0.7%  comp.lang.pascal 
 211  86000   539   61%  7275     8.5    46%  0.07   0.9%  alt.flame 
 212  86000   458   71%  2492     4.5    29%  0.04   0.7%  comp.sys.ibm.pc.hardware.misc 
 213  86000   422   78%  2886     3.4    54%  0.03   0.7%  comp.org.eff.talk 
 214  86000   422   77%  1537     2.6     8%  0.03   0.7%  comp.os.ms-windows.setup 
 215  85000   558   58%  3488     4.3    12%  0.03   0.9%  alt.beer 
 216  85000   434   75%  1832     3.7    16%  0.04   0.7%  rec.food.veg 
 217  85000   373   87%   246     0.4    13%  0.00   0.6%  comp.mail.uucp 
 218  84000   431   74%  7498    11.3     4%  0.11   0.7%  rec.motorcycles 
 219  84000   415   77%   647     0.6    14%  0.01   0.7%  comp.binaries.ibm.pc.wanted 
 220  84000   412   78%  1520     3.0     2%  0.03   0.7%  sci.space.shuttle 
 221  84000   408   79%   295     0.5    35%  0.00   0.7%  comp.infosystems 
 222  84000   403   80%    16     0.6     0%  0.01   0.6%  comp.sources.x 
 223  84000   399   80%  1615     2.5    10%  0.03   0.6%  comp.periphs.scsi 
 224  83000   447   71%  4521     3.6    68%  0.03   0.7%  soc.men 
 225  83000   447   71%  4040     6.6     8%  0.06   0.7%  rec.arts.sf.written 
 226  83000   436   73%  3294     5.1     4%  0.05   0.7%  rec.boats 
 227  83000   436   72%  6514    10.8    14%  0.10   0.7%  rec.sport.hockey 
 228  83000   415   77%  3410     4.0    59%  0.04   0.7%  sci.skeptic 
 229  83000   409   78%   661     1.2    13%  0.01   0.7%  comp.compression 
 230  82000   404   78%   324     0.1    82%  0.00   0.6%  comp.admin.policy 
 231  82000   387   81%   534     1.0    17%  0.01   0.6%  comp.windows.misc 
 232  82000   381   82%   188     0.2    26%  0.00   0.6%  news.newsites 
 233  82000   380   82%  2336     3.4    11%  0.04   0.6%  comp.unix.aix 
 234  81000   451   68%  9879    20.8    26%  0.19   0.7%  talk.politics.guns 
 235  81000   432   72%  3369     5.8    28%  0.06   0.7%  soc.culture.china 
 236  81000   396   78%  1000     1.5     6%  0.02   0.6%  comp.dsp 
 237  81000   379   82%   837     1.1     5%  0.01   0.6%  comp.lang.postscript 
 238  81000   366   85%   106     0.2    18%  0.00   0.6%  news.config 
 239  80000   700   43%   231     0.4     3%  0.00   1.1%  alt.tv.simpsons.itchy-scratchy 
 240  80000   518   59%  5051     7.3    24%  0.06   0.8%  alt.pagan 
 241  80000   443   69%  1123     1.5    39%  0.01   0.7%  soc.couples 
 242  80000   415   74%   112     0.5     7%  0.01   0.7%  sci.space.news 
 243  80000   399   76% 10090    11.3    45%  0.12   0.6%  comp.os.os2.advocacy 
 244  80000   384   79%   570     0.6    29%  0.01   0.6%  comp.os.msdos.apps 
 245  80000   366   83%    63     0.1    46%  0.00   0.6%  comp.sources.d 
 246  80000   364   83%   727     1.6    13%  0.02   0.6%  news.software.nntp 
 247  79000   477   63%  6324     6.4     2%  0.06   0.8%  soc.penpals 
 248  79000   410   73%  1333     2.6    20%  0.03   0.7%  rec.music.cd 
 249  79000   395   76%  2732     4.6    31%  0.05   0.6%  sci.environment 
 250  79000   385   79%  1143     1.7     2%  0.02   0.6%  comp.fonts 
 251  79000   385   78%    33     0.1    23%  0.00   0.6%  comp.newprod 
 252  79000   382   79%   776     0.6    45%  0.01   0.6%  comp.sys.sun.misc 
 253  78000   617   48%  3991     4.4     7%  0.03   1.0%  alt.games.doom 
 254  78000   427   69%  3653     5.7     4%  0.06   0.7%  comp.sys.ibm.pc.games.rpg 
 255  78000   401   74%    60     0.2     4%  0.00   0.6%  comp.internet.library 
 256  78000   381   78%  1082     2.0     8%  0.02   0.6%  comp.robotics 
 257  77000   489   60%  2106     2.5    21%  0.02   0.8%  alt.aquaria 
 258  77000   429   69%  3043     4.0    14%  0.04   0.7%  comp.sys.ibm.pc.hardware.chips 
 259  77000   399   73%  1467     1.7    21%  0.02   0.6%  comp.graphics.animation 
 260  77000   392   74%  4973     6.9    12%  0.07   0.6%  rec.music.classical 
 261  77000   388   76%  2507     3.8    14%  0.04   0.6%  comp.sys.amiga.misc 
 262  76000   822   35%  4063    58.9    60%  0.30   1.3%  alt.sex.pictures.female 
 263  76000   402   72%  4939     8.2     6%  0.08   0.6%  rec.arts.poems 
 264  76000   380   77%   903     1.0    30%  0.01   0.6%  comp.programming 
 265  76000   370   78%  2610     3.2     5%  0.04   0.6%  comp.sys.laptops 
 266  76000   370   78%   240     1.4    22%  0.02   0.6%  comp.graphics.visualization 
 267  76000   366   79%   544     0.9     8%  0.01   0.6%  comp.realtime 
 268  76000   365   79%   601     0.8    12%  0.01   0.6%  comp.emacs 
 269  76000   362   80%   678     0.9    38%  0.01   0.6%  comp.lang.misc 
 270  75000   600   47%  1853     4.9     8%  0.03   1.0%  alt.ascii-art 
 271  75000   558   51%  1305     3.0    19%  0.02   0.9%  alt.sex.bestiality 
 272  75000   452   63%  1805     2.1    24%  0.02   0.7%  comp.os.linux.admin 
 273  75000   413   69%  2622     4.0    12%  0.04   0.7%  soc.culture.french 
 274  75000   411   69%  2980     3.6    44%  0.04   0.7%  soc.culture.hongkong 
 275  75000   395   72%  7602    11.2     0%  0.12   0.6%  rec.guns 
 276  75000   386   74%  3255     4.6    14%  0.05   0.6%  comp.unix.solaris 
 277  75000   382   74%  1042     1.2    42%  0.01   0.6%  sci.engr 
 278  75000   381   75%  3577     5.8     8%  0.06   0.6%  rec.games.programmer 
 279  75000   356   80%   545     1.1     0%  0.01   0.6%  comp.virus 
 280  75000   347   82%   934     1.7     9%  0.02   0.6%  comp.mail.sendmail 
 281  74000   674   42%   153     1.8    17%  0.01   1.1%  alt.fan.ren-and-stimpy 
 282  74000   439   64%  1194     1.6    24%  0.02   0.7%  comp.os.linux.development 
 283  74000   409   69%  9175    15.2    18%  0.16   0.7%  rec.arts.sf.starwars 
 284  74000   377   75%  3204     7.1     2%  0.08   0.6%  rec.games.chess 
 285  74000   376   75%  1412     3.9     0%  0.04   0.6%  sci.military 
 286  74000   369   77%   729     1.0    42%  0.01   0.6%  comp.ai.philosophy 
 287  74000   368   77%  1322     1.5    26%  0.02   0.6%  comp.os.ms-windows.programmer.tools 
 288  74000   365   78%  2647     3.5     9%  0.04   0.6%  comp.databases.oracle 
 289  74000   362   78%   295     0.6    12%  0.01   0.6%  comp.edu 
 290  74000   358   79%  1117     2.3     3%  0.03   0.6%  comp.lang.ada 
 291  74000   355   79%  1045     1.2    22%  0.01   0.6%  comp.sys.sun.hardware 
 292  74000   353   80%  2239     3.4     2%  0.04   0.6%  comp.text.tex 
 293  74000   352   80%   720     1.2    11%  0.01   0.6%  comp.dcom.lans.ethernet 
 294  73000   411   67%   196     0.2    16%  0.00   0.7%  alt.sources.wanted 
 295  73000   403   69%  3027     4.2    12%  0.04   0.6%  rec.travel.air 
 296  73000   402   69%  3323     4.7     5%  0.05   0.6%  comp.sys.ibm.pc.games.flight-sim 
 297  73000   402   69%  1479     2.1    10%  0.02   0.6%  comp.sys.ibm.pc.hardware.cd-rom 
 298  73000   389   71%  7193     9.6    12%  0.10   0.6%  comp.os.ms-windows.nt.misc 
 299  73000   386   72%  4459     7.4     9%  0.08   0.6%  rec.autos.driving 
 300  73000   377   73%  1343     2.3     5%  0.03   0.6%  rec.pets 
 301  73000   375   74%  1742     3.4     4%  0.04   0.6%  rec.radio.shortwave 
 302  72000   579   47%     -       -      -     -   0.9%  alt.answers 
 303  72000   548   50%   124     0.1    23%  0.00   0.9%  alt.bbs.lists.d 
 304  72000   456   60%  4005     3.9    61%  0.04   0.7%  alt.censorship 
 305  72000   391   70%  2566     3.1    12%  0.03   0.6%  rec.collecting 
 306  72000   369   74%   876     1.0    32%  0.01   0.6%  rec.music.makers 
 307  72000   362   76%   400     0.2    77%  0.00   0.6%  misc.headlines 
 308  72000   355   77%     3     0.0     0%  0.00   0.6%  comp.security.announce 
 309  71000   905   30%     -       -      -     -   1.4%  alt.sex.breasts 
 310  71000   392   69%  5328     8.6     3%  0.09   0.6%  rec.pets.cats 
 311  71000   387   70%   107     0.4     2%  0.00   0.6%  comp.os.os2.announce 
 312  71000   380   71%  6470    11.7     3%  0.13   0.6%  rec.arts.disney 
 313  71000   337   81%  2705     4.9     4%  0.06   0.5%  comp.os.vms 
 314  70000   711   37%  2343     5.4     7%  0.03   1.1%  alt.sex.spanking 
 315  70000   424   62%  5237     6.9    10%  0.07   0.7%  misc.invest.stocks 
 316  70000   369   72%  3697     6.1     4%  0.07   0.6%  misc.writing 
 317  70000   359   74%  9293    11.9     1%  0.14   0.6%  rec.music.gdead 
 318  69000   426   62%   702     0.9    11%  0.01   0.7%  alt.hypertext 
 319  69000   385   69%  2707     3.9     7%  0.04   0.6%  comp.sys.ibm.pc.hardware.video 
 320  69000   370   71%  5073    11.1     8%  0.12   0.6%  rec.games.video.arcade 
 321  69000   356   74%  3960     6.6     2%  0.08   0.6%  rec.woodworking 
 322  69000   352   74%    92     0.2    27%  0.00   0.6%  comp.ai.edu 
 323  69000   343   77%   924     0.9    41%  0.01   0.5%  sci.bio 
 324  69000   336   78%     -       -      -     -   0.5%  comp.sources.games 
 325  68000   386   67%  5103     6.3    43%  0.07   0.6%  soc.culture.canada 
 326  68000   384   68%  1668     1.8    34%  0.02   0.6%  comp.sys.ibm.pc.hardware.systems 
 327  68000   378   69%  3268     6.2    51%  0.07   0.6%  talk.religion.misc 
 328  68000   372   69%    87     0.1    22%  0.00   0.6%  alt.sources.d 
